id,name,symbol,slug,date_added,price
2349,Mixin,XIN,mixin,2018-01-09T00:00:00.000Z,172.381820459
2165,ERC20,ERC20,erc20,2017-11-09T00:00:00.000Z,0.0783040011677
5234,Metaverse Dualchain Network Architecture,DNA,metaverse-dualchain-network-architecture,2020-02-15T00:00:00.000Z,0.00544334465558
3809,DOS Network,DOS,dos-network,2019-03-22T00:00:00.000Z,0.311377199068
4122,Counos Coin,CCA,counos-coin,2019-12-10T00:00:00.000Z,5.11435248791
3914,GlitzKoin,GTN,glitzkoin,2019-05-07T00:00:00.000Z,0.282845511808
5830,NXM,NXM,nxm,2020-07-20T00:00:00.000Z,17.9515979863
2319,QCash,QC,qcash,2019-12-12T00:00:00.000Z,0.14427778656
5115,TerraKRW,KRT,terra-krw,2020-01-15T00:00:00.000Z,0.000835719746318
4268,NewYork Exchange,NYE,newyork-exchange,2019-08-20T00:00:00.000Z,9.72501080175
2585,Centrality,CENNZ,centrality,2018-03-13T00:00:00.000Z,0.0672775162125
3772,STEM CELL COIN,SCC,stem-cell-coin,2019-03-01T00:00:00.000Z,0.172051712764
3987,Beldex,BDX,beldex,2019-06-07T00:00:00.000Z,0.0556786993975
3734,Elamachain,ELAMA,elamachain,2019-02-07T00:00:00.000Z,0.0955549001075
4197,ShareToken,SHR,sharetoken,2019-11-26T00:00:00.000Z,0.0345142032207
3673,BitMax Token,BTMX,bitmax-token,2019-01-08T00:00:00.000Z,0.0727948942857
2633,Stakenet,XSN,stakenet,2018-04-11T00:00:00.000Z,0.449697244751
3063,Vitae,VITAE,vitae,2018-08-14T00:00:00.000Z,2.40068500989
5677,IZE,IZE,ize,2020-06-08T00:00:00.000Z,0.0111993547813
4049,Bitbook Gambling,BXK,bitbook-gambling,2019-06-24T00:00:00.000Z,0.127961611105
4967,Joule,JUL,joule,2019-11-26T00:00:00.000Z,0.0452301524712
2842,Bankera,BNK,bankera,2018-06-04T00:00:00.000Z,0.00175068624892
3519,Breezecoin,BRZE,breezecoin,2018-10-29T00:00:00.000Z,0.408198960438
5453,KardiaChain,KAI,kardiachain,2020-04-17T00:00:00.000Z,0.0229318484958
5221,Handshake ,HNS,handshake,2020-02-22T00:00:00.000Z,0.131512038821
4360,FABRK,FAB,fabrk,2019-09-12T00:00:00.000Z,0.00816976662944
2649,DeviantCoin,DEV,deviantcoin,2018-04-17T00:00:00.000Z,1.36409862453
3640,Livepeer,LPT,livepeer,2018-12-19T00:00:00.000Z,1.88280581247
4944,Tellor,TRB,tellor,2019-11-19T00:00:00.000Z,26.6749691386
5741,DMM: Governance,DMG,dmm-governance,2020-07-07T00:00:00.000Z,1.06891729181
5075,Egoras,EGR,egoras,2019-12-30T00:00:00.000Z,0.000567335928179
268,WhiteCoin,XWC,whitecoin,2014-04-18T00:00:00.000Z,0.144268853692
3415,Buggyra Coin Zero,BCZERO,buggyra-coin-zero,2018-10-09T00:00:00.000Z,0.0175529662225
5280,Bloomzed Token,BZT,bloomzed-token,2020-03-09T00:00:00.000Z,1.03731956324
3737,BTU Protocol,BTU,btu-protocol,2019-02-11T00:00:00.000Z,0.387833629264
5841,NEST Protocol,NEST,nest-protocol,2020-07-14T00:00:00.000Z,0.0933314267709
5094,Level01,LVX,level01,2020-06-03T00:00:00.000Z,0.216739982726
5829,TrustSwap,SWAP,trustswap,2020-07-10T00:00:00.000Z,0.485815114539
2538,Nectar,NEC,nectar,2018-02-21T00:00:00.000Z,0.204827237247
2943,Rocket Pool,RPL,rocket-pool,2018-07-17T00:00:00.000Z,3.15231201909
3966,BitcoinHD,BHD,bitcoinhd,2019-05-27T00:00:00.000Z,5.11920036409
4644,Poseidon Network,QQQ,poseidon-network,2019-09-17T00:00:00.000Z,0.0144209549597
4951,Zynecoin,ZYN,zynecoin,2020-07-07T00:00:00.000Z,1.39994835108
3928,IDEX,IDEX,idex,2019-05-09T00:00:00.000Z,0.0588005842692
4005,Tratin,TRAT,tratin,2019-06-11T00:00:00.000Z,0.000273713325105
5060,XeniosCoin,XNC,xenioscoin,2019-12-19T00:00:00.000Z,0.388760768932
4113,UNI COIN,UNI,uni-coin,2019-07-17T00:00:00.000Z,0.490377883629
3666,Ultiledger,ULT,ultiledger,2019-01-07T00:00:00.000Z,0.0166822969979
5127,Orient Walt,HTDF,orient-walt,2020-01-10T00:00:00.000Z,0.391326645405
4064,USDK,USDK,usdk,2019-07-29T00:00:00.000Z,1.0036300201
2444,CRYPTO20,C20,c20,2018-01-22T00:00:00.000Z,0.710987447613
3364,PLATINCOIN,PLC,platincoin,2018-10-01T00:00:00.000Z,5.48289040799
